zip_code,price,sqft,beds,baths,year_built,age,property_type,price_per_sqft
94070,2123097,917,3,1.5,1946,79,House,2315.26
94070,2155993,2128,5,2.0,1922,103,Single Family Residence,1013.15
94070,2477368,2185,5,2.0,1933,92,Single Family,1133.81
94070,1951841,1848,4,2.5,1994,31,Single Family,1056.19
94070,2489358,1400,3,2.0,1959,66,Single Family Residence,1778.11
94070,1476767,2016,4,3.0,1999,26,Single Family,732.52
94070,2000756,1341,3,2.0,1926,99,Single Family Residence,1491.99
94070,1885653,1926,5,3.0,2016,9,Single Family,979.05
94070,2196156,1270,3,2.0,2002,23,Residential,1729.26
94070,1742558,2125,3,3.0,1986,39,Single Family Residence,820.03
94070,1628018,2107,5,3.0,1939,86,House,772.67
94070,2095276,2071,4,3.0,1987,38,Residential,1011.72
94070,2492890,1698,3,2.5,2015,10,Single Family Residential,1468.13
94070,1827100,2057,5,3.0,1962,63,House,888.24
94070,1775430,1527,3,2.0,1956,69,Single Family Residence,1162.69
94070,1734622,1738,4,2.5,1982,43,House,998.06
94070,2086375,1337,3,2.5,1979,46,Residential,1560.49
94070,1643711,1513,3,2.0,1950,75,Single Family Residential,1086.39
94070,1567511,2008,4,3.0,1954,71,House,780.63
94070,1638229,1002,2,2.0,1958,67,Single Family,1634.96
94070,1793151,2549,4,3.0,1963,62,House,703.47
94070,1391716,2713,4,4.0,2001,24,House,512.98
94070,1562976,1469,3,2.0,1962,63,House,1063.97
94070,2150013,2150,4,2.5,1992,33,Single Family,1000.01
94070,2494232,1933,5,2.5,2002,23,Single Family Residential,1290.34
94070,2389412,1945,4,3.0,2005,20,Single Family,1228.49
94070,2130251,2076,4,3.0,1922,103,Single Family Residential,1026.13
94070,3143081,2041,3,2.5,2015,10,Single Family Residence,1539.97
94070,1780725,2033,4,2.0,1968,57,Residential,875.91
94070,2407346,1855,3,2.5,1971,54,House,1297.76
94070,2710384,1531,4,2.0,2013,12,Residential,1770.34
94070,1492019,893,3,2.0,2000,25,House,1670.79
94070,2418807,1908,4,3.0,1945,80,Single Family,1267.72
94301,3020416,3025,5,3.5,1956,69,House,998.48
94301,2754892,2076,4,3.0,1922,103,House,1327.02
94301,3151515,1494,3,2.5,1940,85,Single Family,2109.45
94301,2807436,2451,3,2.0,2006,19,House,1145.42
94301,4243623,3314,5,4.0,1936,89,House,1280.51
94301,3502238,1963,4,2.5,2007,18,Single Family,1784.13
94301,4024037,2608,6,4.5,1961,64,Single Family Residence,1542.96
94301,4481855,2313,4,2.5,1923,102,Single Family Residential,1937.68
94301,3298447,1489,3,2.0,1992,33,House,2215.21
94301,3763379,2927,5,3.5,1951,74,Single Family,1285.75
94301,3819550,1629,3,2.0,2017,8,Residential,2344.72
94301,4302615,2826,4,4.0,1969,56,Single Family Residential,1522.51
94301,2798833,2766,5,4.0,1955,70,Residential,1011.87
94301,2944081,2523,6,3.0,1977,48,Residential,1166.9
94301,3034626,2490,3,3.0,1989,36,House,1218.73
94301,3236680,1532,3,2.5,1968,57,Single Family Residential,2112.72
94301,5873306,1983,5,2.5,1995,30,Single Family Residence,2961.83
94301,3414712,1584,3,2.0,1950,75,Single Family,2155.75
94301,3044332,2114,5,2.5,1972,53,House,1440.08
94301,3571937,2672,4,4.5,1964,61,House,1336.8
94301,2114348,2373,3,3.0,2021,4,Single Family Residence,891.0
94301,2911583,2959,6,3.5,1959,66,Single Family Residential,983.98
94301,2868929,1968,5,2.5,2003,22,Single Family Residence,1457.79
94301,1739309,1754,3,2.5,1932,93,Single Family Residential,991.62
94301,3157282,2938,5,4.0,1944,81,House,1074.64
94301,4341573,2354,5,2.5,1921,104,Single Family,1844.34
94301,2270193,2143,3,2.5,2019,6,Residential,1059.35
94301,2682436,2486,4,2.0,2010,15,House,1079.02
94301,2004605,2155,4,3.0,1987,38,Residential,930.21
94301,2657586,2723,4,4.0,1980,45,Single Family Residential,975.98
94301,4227836,1770,3,2.5,2001,24,Single Family Residential,2388.61
94301,4158528,2889,5,3.5,1944,81,Single Family Residential,1439.44
94301,3626477,2041,4,2.5,1952,73,Single Family Residence,1776.81
94301,3690445,2125,4,2.0,2019,6,Residential,1736.68
94301,2882227,2166,4,2.0,1963,62,Single Family Residential,1330.67
94301,4224588,2677,5,4.5,1973,52,Single Family,1578.11
94301,2569428,2400,4,3.0,1971,54,Single Family,1070.6
94301,3023883,1723,3,2.0,1981,44,Single Family Residential,1755.01
94301,2733467,1982,4,2.0,1971,54,Single Family,1379.15
94301,3577774,2844,5,3.5,1967,58,Single Family Residential,1258.01
94301,3774664,2773,5,3.0,1980,45,Single Family Residential,1361.22
94301,3961511,2335,3,2.5,1949,76,Residential,1696.58
94301,3255166,2849,6,3.5,1954,71,Single Family Residential,1142.56
94301,3973950,2225,3,3.0,1972,53,Single Family Residence,1786.04
94301,3985725,2096,3,2.5,2008,17,Residential,1901.59
94301,3174657,2025,3,3.0,1989,36,Single Family Residence,1567.73
94301,3796707,1459,3,2.0,1970,55,Single Family Residence,2602.27
94301,4214683,2840,6,4.0,1934,91,Residential,1484.04
94301,3388839,1283,3,2.0,1929,96,Single Family Residential,2641.34
94301,4099510,1620,3,2.0,2014,11,House,2530.56
94301,4751765,2438,5,2.0,1967,58,Single Family,1949.04
94301,2905865,1860,4,2.0,1933,92,House,1562.29
94301,4525168,2257,4,3.0,2011,14,Residential,2004.95
94301,3561332,1865,3,2.5,1921,104,Single Family Residential,1909.56
94301,3327606,1786,4,2.0,1935,90,House,1863.16
94301,3077404,2588,6,4.5,1936,89,Single Family Residential,1189.11
94301,3308221,2149,5,2.0,1936,89,Residential,1539.42
94301,4668103,2229,4,2.5,1979,46,Residential,2094.26
94301,2255452,2985,5,3.0,2004,21,Single Family Residence,755.6
94301,3624429,2306,5,3.0,2004,21,Residential,1571.74
94022,4312734,2337,4,2.5,1952,73,Single Family Residence,1845.41
94022,4757565,2872,6,3.5,2022,3,House,1656.53
94022,4531622,2536,6,4.0,1949,76,Single Family Residential,1786.92
94022,3642290,2240,3,3.0,1921,104,Single Family Residential,1626.02
94022,4663525,2014,4,3.0,1933,92,Single Family Residence,2315.55
94022,4687465,2068,4,2.5,2009,16,Single Family Residential,2266.67
94022,3894494,2985,6,4.0,2002,23,House,1304.69
94022,3962415,2734,6,3.5,1922,103,Single Family,1449.31
94022,3763281,2464,4,3.0,1994,31,Single Family Residential,1527.31
94022,3651267,1556,3,2.0,2019,6,Single Family,2346.57
94022,3250397,2504,5,4.5,1932,93,Residential,1298.08
94022,4374577,1137,3,1.5,1994,31,Single Family Residential,3847.47
94022,2648577,2045,3,3.0,1951,74,Residential,1295.15
94022,3940691,2229,3,2.5,1975,50,Single Family Residence,1767.92
94022,4325317,3156,6,3.5,1931,94,Single Family,1370.51
94022,3875333,2350,4,2.0,1940,85,Single Family Residential,1649.08
94022,4895827,2796,5,4.5,2003,22,House,1751.01
94022,4140841,2172,4,3.0,1935,90,Single Family,1906.46
94022,3502289,2447,3,3.0,1985,40,Single Family Residence,1431.26
94022,4066026,2377,5,2.0,1927,98,Single Family Residential,1710.57
94022,5010433,1659,3,2.0,1938,87,Single Family Residential,3020.15
94022,4099494,2247,3,3.0,2002,23,House,1824.43
94022,4196304,2917,5,4.0,1922,103,Single Family,1438.57
94022,3512596,3340,5,3.5,1992,33,Single Family Residential,1051.68
94022,4985125,1423,3,2.0,1921,104,Residential,3503.25
94022,3526278,2196,5,3.0,1993,32,Single Family Residential,1605.77
94022,4506765,1748,4,2.0,2014,11,House,2578.24
94022,3130684,2855,5,4.5,1977,48,Single Family,1096.56
94022,2362409,1562,4,2.5,1970,55,House,1512.43
94022,3742946,2865,6,3.5,2003,22,Single Family,1306.44
94022,4664477,2934,6,4.0,1992,33,Single Family Residential,1589.8
94022,4036489,3592,6,3.5,1944,81,Residential,1123.74
94022,2935985,2891,5,4.5,2017,8,House,1015.56
94022,2708782,2065,4,2.0,2008,17,House,1311.76
94022,2333153,2091,4,3.0,1991,34,Single Family Residential,1115.81
94022,2126754,2300,5,3.0,1960,65,Single Family Residential,924.68
94022,3407756,3042,6,4.0,2005,20,Residential,1120.24
94022,4992114,2671,5,3.0,1953,72,Residential,1869.01
94022,4656901,3669,5,3.0,1962,63,House,1269.26
94022,3016436,2796,5,4.0,1994,31,Single Family Residential,1078.84
94022,3049538,2497,5,3.0,1987,38,Residential,1221.28
94022,4647231,2138,4,3.0,1970,55,Single Family Residential,2173.63
94022,3392739,2908,5,3.5,2003,22,Single Family Residence,1166.69
94022,3696365,2752,5,3.0,2005,20,Single Family Residential,1343.16
94022,2898704,2084,5,3.0,1980,45,Single Family Residential,1390.93
94022,4619071,2521,4,3.0,2019,6,Single Family,1832.24
94022,4500064,3758,6,4.5,1982,43,Single Family Residence,1197.46
94022,2982419,2352,4,2.5,1991,34,House,1268.04
94022,3866869,1288,4,2.0,1923,102,Residential,3002.23
94022,3897557,3208,5,4.0,1971,54,House,1214.95
94022,4450671,2549,4,4.0,2022,3,Residential,1746.05
94022,3926691,2700,6,3.0,1921,104,Residential,1454.33
94022,5448223,1966,3,2.0,2000,25,Single Family Residence,2771.22
94022,4168504,2340,4,3.0,2018,7,House,1781.41
94022,5130544,2630,5,3.5,1944,81,Single Family Residential,1950.78
94024,5365396,4192,4,3.5,1956,69,Single Family Residential,1279.91
94024,4455765,1854,3,2.0,1934,91,House,2403.33
94024,4477363,3401,6,4.5,1980,45,Single Family Residential,1316.48
94024,4227165,1698,3,2.0,1993,32,Single Family,2489.5
94024,4136028,3685,5,4.0,1932,93,House,1122.4
94024,4514516,2611,5,4.5,1963,62,Single Family Residential,1729.04
94024,3612977,2682,5,3.0,2002,23,House,1347.12
94024,5966613,1258,3,2.5,1949,76,Residential,4742.94
94024,4327424,3907,6,4.0,2019,6,Single Family Residential,1107.61
94024,4946954,2402,4,2.0,1992,33,Single Family Residence,2059.51
94024,3765525,4553,5,4.0,2005,20,Single Family Residential,827.04
94024,3013424,3872,5,3.5,1983,42,Single Family Residence,778.26
94024,6285347,1671,4,2.0,2008,17,House,3761.43
94024,4246448,3288,5,4.0,1981,44,House,1291.5
94024,5434935,3252,4,4.0,1966,59,Single Family Residence,1671.26
94024,3061783,3076,5,3.0,1974,51,Single Family,995.38
94024,4161053,3495,5,3.0,1993,32,House,1190.57
94024,3604182,2316,3,3.0,1992,33,Single Family Residence,1556.21
94024,3936234,2332,5,2.5,1971,54,House,1687.92
94024,4806359,3726,5,4.0,1928,97,Residential,1289.95
94024,4976064,2926,6,3.5,1938,87,Single Family,1700.64
94024,4101624,4196,4,3.0,1970,55,Residential,977.51
94024,4688732,2679,4,3.0,1972,53,Single Family Residential,1750.18
94024,3302799,2474,4,2.0,1982,43,House,1335.0
94024,4551261,2784,4,4.0,1935,90,Single Family,1634.79
94024,4743870,2847,5,4.5,1958,67,Residential,1666.27
94024,2302036,2548,4,4.0,1944,81,Residential,903.47
94024,4462336,2432,4,3.0,2013,12,Single Family Residential,1834.84
94024,5737389,2525,5,3.5,1935,90,Single Family Residence,2272.23
94024,5011427,3196,4,3.0,2006,19,Single Family,1568.03
94024,4459649,4064,5,4.5,2011,14,Residential,1097.35
94024,5057866,2991,5,4.5,1967,58,Single Family Residential,1691.03
94024,4544977,3413,5,4.0,1956,69,Single Family,1331.67
94024,2830638,3042,4,3.0,1994,31,Residential,930.52
94024,3809702,3672,6,3.5,1964,61,Single Family Residential,1037.5
94024,1821411,3279,6,4.0,1982,43,House,555.48
94024,3446523,2496,5,2.0,1926,99,Residential,1380.82
94024,4895329,4588,4,4.5,1955,70,Single Family Residential,1066.99
94024,3773728,3872,5,4.0,1960,65,Single Family Residential,974.62
94024,5311289,2130,4,2.0,1942,83,House,2493.56
94024,5702938,2447,4,2.0,1948,77,Residential,2330.58
94024,5019835,3716,5,3.0,1922,103,Residential,1350.87
94024,5288246,3594,5,4.5,1921,104,House,1471.41
94024,4476166,2902,6,3.5,2024,1,House,1542.44
94024,4698000,3728,5,3.0,2018,7,Single Family,1260.19
94024,5357627,4137,4,3.0,1975,50,Single Family,1295.05
94024,4714225,3143,5,4.0,1962,63,House,1499.91
94024,3916971,1590,3,2.0,2004,21,Residential,2463.5
94024,5235524,3947,5,3.5,1986,39,Single Family,1326.46
94024,5007265,3443,4,4.5,1923,102,Single Family Residential,1454.33
94027,9579977,5339,4,4.5,1935,90,Single Family Residential,1794.34
94027,6905378,4595,5,3.5,1982,43,Single Family,1502.8
94027,7950251,4334,4,4.5,2008,17,Single Family Residence,1834.39
94027,7484124,2569,4,4.5,2003,22,Residential,2913.24
94027,6385262,3887,6,3.0,2000,25,Single Family Residential,1642.72
94027,6302986,3370,6,3.5,1992,33,Residential,1870.32
94027,6387718,3219,5,4.0,1982,43,Single Family Residence,1984.38
94027,3521909,4565,5,4.5,1972,53,Single Family Residential,771.5
94027,6577775,5197,5,4.0,2002,23,Residential,1265.69
94027,6888741,5122,6,3.0,1944,81,Single Family Residential,1344.93
94027,7805336,3958,6,3.5,1958,67,Single Family Residence,1972.04
94027,8723269,4722,4,4.5,1942,83,Single Family,1847.37
94027,4609489,4171,5,4.5,1995,30,Residential,1105.13
94027,6637728,2717,4,3.5,1954,71,Residential,2443.04
94027,3146284,3593,4,4.0,2013,12,Single Family Residence,875.67
94027,6640159,2809,4,3.5,1973,52,Single Family Residence,2363.89
94027,5054249,3530,6,4.5,1926,99,House,1431.8
94027,5432516,4431,4,3.5,1929,96,House,1226.02
94027,9612017,3755,5,3.0,2013,12,Residential,2559.79
94027,3599610,3290,5,3.0,1952,73,House,1094.11
94027,8166901,2971,4,4.5,1968,57,Single Family,2748.87
94027,5672116,3386,5,3.0,2017,8,Single Family Residential,1675.17
94027,4904097,2227,4,2.5,2003,22,Residential,2202.11
94027,5942650,3872,6,4.0,1920,105,Residential,1534.78
94027,5579253,4022,4,4.0,2013,12,Single Family Residence,1387.18
94027,6014923,1686,3,2.0,1989,36,House,3567.57
94027,5811274,3811,5,3.0,1935,90,Residential,1524.87
94027,8824232,2879,5,4.0,2001,24,Single Family Residence,3065.03
94027,7905787,3110,6,4.5,1985,40,Single Family,2542.05
94027,3930511,4394,4,4.5,1951,74,House,894.52
94027,3789827,4338,4,4.0,1984,41,Residential,873.63
94027,5799599,3624,5,3.0,1924,101,Residential,1600.33
94027,7571227,3235,6,3.5,1926,99,Single Family Residential,2340.41
94027,2934653,4291,6,3.5,1971,54,Residential,683.91
94027,3580590,3759,4,3.0,2020,5,Single Family,952.54
94027,5106065,6330,6,4.0,1929,96,House,806.65
94027,4417349,3988,4,4.5,1929,96,Single Family Residential,1107.66
94027,5743624,1499,3,2.0,1921,104,Residential,3831.64
94027,8005847,5094,4,3.0,1970,55,Single Family Residence,1571.62
94027,4698506,4314,4,3.0,2015,10,Single Family Residential,1089.13
94025,3176793,1893,5,2.5,2008,17,House,1678.18
94025,3015107,2167,3,3.0,1926,99,Single Family Residence,1391.37
94025,2606516,1346,3,2.0,2020,5,Single Family Residential,1936.49
94025,2344579,962,3,1.0,1969,56,House,2437.19
94025,2416689,2348,4,2.5,1923,102,Residential,1029.25
94025,2268818,2185,4,2.0,1975,50,Single Family,1038.36
94025,1814976,2864,5,3.5,2006,19,House,633.72
94025,2363375,1388,3,2.0,1980,45,Residential,1702.72
94025,2374346,1553,3,2.5,1974,51,Single Family,1528.88
94025,2483894,1933,5,3.0,1991,34,Residential,1284.99
94025,2931648,1863,4,2.5,2010,15,Residential,1573.62
94025,1813227,2303,4,2.5,1968,57,Single Family Residential,787.33
94025,2072775,1941,4,2.5,1955,70,Single Family,1067.89
94025,3013301,2484,4,3.0,1952,73,Residential,1213.08
94025,1790368,1972,4,3.0,2022,3,Residential,907.89
94025,2384876,2363,4,2.0,1956,69,House,1009.26
94025,2309553,2096,3,3.0,1987,38,Single Family,1101.89
94025,1945604,1601,3,2.0,1997,28,Single Family,1215.24
94025,2090339,1639,3,2.0,1973,52,Residential,1275.37
94025,2005072,2020,5,3.0,1979,46,Single Family Residence,992.61
94025,3260310,2742,6,4.5,1934,91,Single Family,1189.03
94025,2386927,2577,5,4.0,1972,53,Residential,926.24
94025,2988338,1979,3,3.0,2007,18,Single Family,1510.02
94025,1487655,2566,4,4.5,1963,62,Single Family Residence,579.76
94025,3461609,2053,5,3.0,2003,22,Single Family,1686.12
94025,2340000,2428,4,2.0,1966,59,Single Family,963.76
94025,2903360,2377,4,2.5,2018,7,House,1221.44
94025,2206471,2528,4,4.0,1951,74,Single Family,872.81
94025,3192914,1875,4,3.0,1965,60,Single Family Residence,1702.89
94025,1811577,1773,3,2.0,1953,72,House,1021.76
94025,3316595,1823,3,3.0,1921,104,House,1819.31
94025,3249062,1711,4,2.0,1954,71,Single Family Residence,1898.93
94025,3240911,2189,4,3.0,1957,68,House,1480.54
94025,1604485,1364,3,2.0,1959,66,Single Family Residence,1176.31
94025,4223251,1920,5,2.0,2002,23,Residential,2199.61
94025,2834188,2007,4,3.0,1929,96,Residential,1412.15
94025,1517930,1406,3,2.0,2020,5,Single Family Residential,1079.61
94025,2885589,2439,5,2.0,1954,71,Single Family Residence,1183.1
94025,2336558,3098,6,3.5,2000,25,Single Family Residence,754.21
94025,3500990,2688,4,4.0,2020,5,House,1302.45
94025,2761343,2348,4,2.0,2012,13,Single Family Residential,1176.04
94025,3320217,1925,4,3.0,1933,92,Single Family Residential,1724.79
94025,3832111,2007,5,3.0,2019,6,Residential,1909.37
94025,4003135,2163,4,3.0,1959,66,Single Family Residential,1850.73
94025,2238798,2236,4,3.0,1962,63,Residential,1001.25
94025,3538615,2214,4,3.0,2018,7,Single Family Residence,1598.29
94025,2202300,2698,4,4.0,1952,73,Single Family,816.27
94025,1929051,2481,5,2.5,1961,64,Residential,777.53
94025,2435523,2736,5,3.5,1975,50,Single Family,890.18
94025,2380358,1587,3,2.5,1965,60,Single Family Residential,1499.91
94025,3403687,1707,4,2.0,1977,48,Single Family Residential,1993.96
94025,2935973,2079,5,2.0,1931,94,Residential,1412.2
94025,1484911,2102,3,3.0,1951,74,House,706.43
94025,3889014,2015,5,3.0,1942,83,Single Family Residential,1930.03
94025,2816683,1615,4,2.0,1936,89,Single Family,1744.08
94025,2770661,1952,4,2.0,2021,4,Single Family Residence,1419.4
94025,2595115,2100,4,2.5,1938,87,House,1235.77
94025,2697928,1865,5,3.0,1992,33,Single Family,1446.61
94025,2960152,2355,3,3.0,1928,97,Single Family,1256.96
94025,2816081,1728,3,2.0,1954,71,Single Family Residence,1629.68
94025,2660962,1362,4,2.0,2009,16,Residential,1953.72
94025,2351820,2331,4,2.5,1982,43,House,1008.93
94025,2975362,3054,5,4.5,1961,64,Single Family,974.25
94025,2868184,2519,5,3.5,1977,48,Residential,1138.62
94025,1509646,2504,5,4.5,2011,14,Single Family Residence,602.89
94025,3416582,2074,5,2.5,1923,102,Single Family Residence,1647.34
94025,1732196,944,2,1.5,1931,94,Single Family Residential,1834.95
94025,2209457,1928,4,2.0,1923,102,Single Family,1145.98
94025,2590436,2219,4,2.0,1927,98,Single Family Residential,1167.39
94025,3629465,1673,3,2.5,1954,71,Single Family Residence,2169.44
94062,1738859,1698,4,2.5,1993,32,House,1024.06
94062,1537557,1175,3,1.5,1950,75,Single Family Residential,1308.56
94062,2356466,2246,4,3.0,2020,5,Single Family Residential,1049.18
94062,2206514,1807,4,3.0,1983,42,House,1221.09
94062,2117134,1846,5,2.5,1983,42,Single Family Residence,1146.88
94062,1539777,1627,3,2.5,1998,27,Single Family,946.39
94062,1411826,1525,4,2.0,1996,29,House,925.79
94062,1897765,1820,4,2.5,2004,21,Single Family Residential,1042.73
94062,2009322,2036,4,3.0,1996,29,House,986.9
94062,1932967,1132,2,2.0,1998,27,House,1707.57
94062,2487809,1478,3,2.0,2003,22,Residential,1683.23
94062,1946209,2031,3,2.5,1941,84,House,958.25
94062,1982491,1884,3,2.5,1932,93,Single Family Residence,1052.28
94062,2761601,1464,3,2.0,2005,20,House,1886.34
94062,1701829,2076,4,3.0,1954,71,Single Family Residence,819.76
94062,805572,1414,3,2.0,1998,27,Single Family Residential,569.71
94062,1866669,1885,4,2.5,1966,59,Residential,990.28
94062,1685140,1225,3,2.5,1936,89,Single Family Residential,1375.62
94062,1835575,1513,3,2.5,1928,97,Single Family Residential,1213.2
94062,1235802,1473,4,2.0,2020,5,House,838.97
94062,1816052,1824,5,2.5,1954,71,Single Family Residential,995.64
94062,2285176,1938,5,2.0,1966,59,Single Family Residence,1179.14
94062,2191283,1790,4,2.5,1931,94,House,1224.18
94062,1860204,2124,3,2.0,1925,100,House,875.8
94062,2229227,2011,4,3.0,1926,99,House,1108.52
94062,1692396,2150,5,2.0,1960,65,Single Family Residence,787.16
94062,1326092,1606,3,2.0,2006,19,Single Family Residential,825.71
94062,1134072,1464,3,2.0,1939,86,Single Family,774.64
94062,2011470,2135,5,2.5,1962,63,Single Family,942.14
94062,1415819,1857,5,3.0,1969,56,Single Family Residence,762.42
94062,1816574,1409,3,2.0,1986,39,Single Family,1289.26
94062,2379916,1166,2,1.5,1946,79,Residential,2041.09
94062,1822663,1629,3,2.5,1925,100,Single Family,1118.88
94062,1904813,1937,4,3.0,2024,1,House,983.38
94062,1491431,1247,3,2.5,1978,47,Residential,1196.02
94062,2279594,1687,3,2.0,2007,18,Single Family,1351.27
94062,1337335,1733,4,2.0,1950,75,Single Family Residence,771.69
94062,1556172,1366,4,2.5,2002,23,Single Family,1139.22
94062,1955277,1440,3,2.0,2020,5,Single Family Residential,1357.83
94062,1555201,1867,5,3.0,1991,34,Single Family,832.99
94062,1270915,1248,3,2.0,1926,99,Residential,1018.36
94062,2203671,1975,4,2.0,1941,84,Single Family,1115.78
94062,1426174,1959,4,3.0,1995,30,House,728.01
94062,2159036,1432,3,2.0,2014,11,Single Family Residential,1507.71
94062,1825764,1212,3,2.0,1924,101,House,1506.41
94062,1690504,1236,4,2.0,2013,12,Single Family Residence,1367.72
94062,1361312,1945,3,3.0,2013,12,Single Family Residence,699.9
94062,1677854,1376,3,2.0,1966,59,Residential,1219.37
94062,783517,1727,3,2.5,1955,70,Single Family Residence,453.69
94062,2217071,1949,5,3.0,1989,36,House,1137.54
94062,1474822,1840,4,3.0,1968,57,Single Family,801.53
94062,1514716,1491,3,2.5,1935,90,House,1015.91
94062,1913789,1709,4,2.5,2014,11,House,1119.83
94062,1792541,1870,5,3.0,1964,61,Single Family Residence,958.58
94062,2271282,1905,5,2.0,2012,13,Single Family Residence,1192.27
94062,1982410,1965,5,2.0,1975,50,Single Family Residence,1008.86
94062,2448464,1604,3,2.5,1963,62,Single Family Residential,1526.47
94062,2065445,1763,3,2.5,1962,63,Single Family Residence,1171.55
94062,1960271,1582,3,2.0,1948,77,House,1239.11
94062,1430819,1848,4,2.5,1950,75,House,774.25
94062,1493711,2256,4,2.5,1945,80,Single Family Residential,662.11
94062,1451179,1533,3,2.0,2003,22,Single Family Residential,946.63
94062,1388268,1178,2,1.0,1931,94,House,1178.5
94062,1799174,2416,4,2.0,1956,69,House,744.69
94062,1826224,2207,4,2.5,1977,48,Residential,827.47
94062,2128963,1867,5,2.5,1930,95,Single Family Residential,1140.31
94062,1891522,2146,4,2.0,2006,19,House,881.42
94062,1488819,1640,3,2.5,2012,13,Single Family Residence,907.82
94062,2000366,1534,3,2.5,2001,24,Residential,1304.02
94062,1824322,1993,3,3.0,2006,19,Single Family,915.36
94062,1829225,2221,4,2.5,2001,24,House,823.6
94062,1551218,1789,3,2.0,2023,2,Single Family Residential,867.09
94062,1750586,1291,3,2.0,1943,82,Single Family,1355.99
94062,1855199,2085,4,2.0,1960,65,Residential,889.78
94062,1503052,1976,4,3.0,1934,91,Single Family Residential,760.65
94062,1413147,1421,3,2.0,1980,45,Residential,994.47
94062,1973512,1742,3,2.0,2015,10,Single Family,1132.9
94062,1588270,1979,4,3.0,1979,46,House,802.56
94062,2043278,2123,4,2.5,2019,6,Single Family Residential,962.45
94062,2411894,1720,3,2.5,2009,16,House,1402.26
94062,1381995,2507,5,4.0,1972,53,Single Family Residence,551.25
94062,3185089,1832,3,2.5,2014,11,Residential,1738.59
94062,1557183,1323,4,2.5,1957,68,Residential,1177.01
94062,1172518,1416,3,2.5,1950,75,Single Family Residential,828.05
94062,1923202,2022,5,2.0,1932,93,House,951.14
94062,2403688,1298,4,2.0,1937,88,Single Family Residential,1851.84
94062,1541232,1659,3,2.5,1927,98,Single Family,929.01
94062,2074010,1378,4,2.5,2020,5,Residential,1505.09
94062,1103793,1399,4,2.0,1950,75,Single Family,788.99
94062,1164586,1311,3,2.0,1999,26,Single Family Residence,888.32
94061,2027067,1330,4,2.0,1997,28,House,1524.11
94061,1491773,1074,3,1.0,1995,30,Single Family Residence,1388.99
94061,1527916,1321,3,2.0,2015,10,Single Family Residential,1156.64
