zip_code,price,sqft,beds,baths,age,property_type,price_per_sqft
94010,2837291,2320,3,3.0,99,Single Family Residential,1222.9702586206897
94010,2851829,2089,4,2.0,65,House,1365.16467209191
94010,2855362,1699,4,2.0,42,Single Family Residence,1680.613301942319
94010,2883089,2161,5,3.0,76,Single Family Residential,1334.145765849144
94010,2893745,2138,4,3.0,95,Single Family Residence,1353.4822263797942
94010,2924858,1536,3,2.0,6,Residential,1904.2044270833333
94010,2942180,2205,3,2.5,65,House,1334.3219954648525
94010,2950960,2001,4,2.5,81,Single Family Residence,1474.742628685657
94010,2958624,1887,4,3.0,83,Single Family,1567.898251192369
94010,2980902,2027,4,2.5,34,Residential,1470.5979279723729
94010,3027302,2230,3,3.0,12,Single Family Residence,1357.534529147982
94010,3041849,1734,4,2.5,36,House,1754.2381776239909
94010,3070350,1995,4,3.0,35,Single Family Residence,1539.0225563909773
94010,3139167,2132,3,2.5,92,Residential,1472.40478424015
94010,3164657,1933,3,2.0,96,Single Family Residential,1637.1738230729436
94010,3206414,1875,4,2.5,49,Single Family Residential,1710.0874666666666
94010,3282264,2534,6,4.0,5,House,1295.2896606156276
94010,3283658,1405,3,2.0,26,House,2337.123131672598
94010,3358400,1760,4,2.0,25,Single Family Residential,1908.1818181818182
94010,3435373,2286,4,3.0,14,Single Family Residence,1502.7878390201224
94010,3512913,2123,3,2.5,37,Residential,1654.6928874234575
94010,3543719,2160,5,2.0,52,Single Family,1640.6106481481481
94010,3629906,1604,3,2.0,31,Single Family Residence,2263.0336658354113
94010,3671720,1738,4,2.5,94,Single Family Residential,2112.6121979286536
94010,3882845,2537,6,4.5,57,Single Family Residential,1530.4867954276706
94022,2126754,2300,5,3.0,65,Single Family Residential,924.675652173913
94022,2333153,2091,4,3.0,34,Single Family Residential,1115.807269249163
94022,2362409,1562,4,2.5,55,House,1512.4257362355954
94022,2648577,2045,3,3.0,74,Residential,1295.1476772616136
94022,2708782,2065,4,2.0,17,House,1311.758837772397
94022,2898704,2084,5,3.0,45,Single Family Residential,1390.9328214971208
94022,2935985,2891,5,4.5,8,House,1015.5603597371152
94022,2982419,2352,4,2.5,34,House,1268.0352891156463
94022,3016436,2796,5,4.0,31,Single Family Residential,1078.8397711015737
94022,3049538,2497,5,3.0,38,Residential,1221.2807368842612
94022,3130684,2855,5,4.5,48,Single Family,1096.5618213660246
94022,3250397,2504,5,4.5,93,Residential,1298.0818690095846
94022,3392739,2908,5,3.5,22,Single Family Residence,1166.6915405777168
94022,3407756,3042,6,4.0,20,Residential,1120.2353714661408
94022,3502289,2447,3,3.0,40,Single Family Residence,1431.2582754393134
94022,3512596,3340,5,3.5,33,Single Family Residential,1051.6754491017964
94022,3526278,2196,5,3.0,32,Single Family Residential,1605.7732240437158
94022,3642290,2240,3,3.0,104,Single Family Residential,1626.0223214285713
94022,3651267,1556,3,2.0,6,Single Family,2346.572622107969
94022,3696365,2752,5,3.0,20,Single Family Residential,1343.155886627907
94022,3742946,2865,6,3.5,22,Single Family,1306.4383944153578
94022,3763281,2464,4,3.0,31,Single Family Residential,1527.3056006493507
94022,3875333,2350,4,2.0,85,Single Family Residential,1649.0778723404255
94022,3894494,2985,6,4.0,23,House,1304.6881072026802
94022,3897557,3208,5,4.0,54,House,1214.9491895261845
94022,3926691,2700,6,3.0,104,Residential,1454.33
94022,3940691,2229,3,2.5,50,Single Family Residence,1767.9187976671153
94022,3962415,2734,6,3.5,103,Single Family,1449.3105340160937
94022,4036489,3592,6,3.5,81,Residential,1123.744153674833
94022,4066026,2377,5,2.0,98,Single Family Residential,1710.5704669751788
94022,4099494,2247,3,3.0,23,House,1824.4299065420562
94022,4140841,2172,4,3.0,90,Single Family,1906.4645488029466
94022,4168504,2340,4,3.0,7,House,1781.4119658119657
94022,4196304,2917,5,4.0,103,Single Family,1438.5683921837503
94022,4312734,2337,4,2.5,73,Single Family Residence,1845.4146341463415
94022,4325317,3156,6,3.5,94,Single Family,1370.506020278834
94022,4450671,2549,4,4.0,3,Residential,1746.0459003530796
94022,4500064,3758,6,4.5,43,Single Family Residence,1197.4624800425759
94022,4506765,1748,4,2.0,11,House,2578.240846681922
94022,4531622,2536,6,4.0,76,Single Family Residential,1786.9171924290222
94022,4619071,2521,4,3.0,6,Single Family,1832.2376041253472
94022,4647231,2138,4,3.0,55,Single Family Residential,2173.634705332086
94022,4656901,3669,5,3.0,63,House,1269.2562005996185
94022,4663525,2014,4,3.0,92,Single Family Residence,2315.553624627607
94022,4664477,2934,6,4.0,33,Single Family Residential,1589.8012951601909
94022,4687465,2068,4,2.5,16,Single Family Residential,2266.6658607350096
94022,4757565,2872,6,3.5,3,House,1656.5337743732591
94022,4895827,2796,5,4.5,22,House,1751.011087267525
94022,4992114,2671,5,3.0,72,Residential,1869.0056158742045
94022,5130544,2630,5,3.5,81,Single Family Residential,1950.777186311787
94024,2302036,2548,4,4.0,81,Residential,903.4678178963893
94024,2830638,3042,4,3.0,31,Residential,930.5187376725838
94024,3013424,3872,5,3.5,42,Single Family Residence,778.2603305785124
94024,3061783,3076,5,3.0,51,Single Family,995.3780884265279
94024,3302799,2474,4,2.0,43,House,1335.003637833468
94024,3446523,2496,5,2.0,99,Residential,1380.8185096153845
94024,3604182,2316,3,3.0,33,Single Family Residence,1556.2098445595855
94024,3612977,2682,5,3.0,23,House,1347.12043251305
94024,3765525,4553,5,4.0,20,Single Family Residential,827.0426092686141
94024,3773728,3872,5,4.0,65,Single Family Residential,974.6198347107438
94024,3809702,3672,6,3.5,61,Single Family Residential,1037.5005446623093
94024,3916971,1590,3,2.0,21,Residential,2463.5037735849055
94024,3936234,2332,5,2.5,54,House,1687.9219554030874
94024,4101624,4196,4,3.0,55,Residential,977.5081029551955
94024,4136028,3685,5,4.0,93,House,1122.39565807327
94024,4161053,3495,5,3.0,32,House,1190.573104434907
94024,4227165,1698,3,2.0,32,Single Family,2489.4964664310955
94024,4246448,3288,5,4.0,44,House,1291.498783454988
94024,4327424,3907,6,4.0,6,Single Family Residential,1107.607883286409
94024,4455765,1854,3,2.0,91,House,2403.3252427184466
94024,4459649,4064,5,4.5,14,Residential,1097.3545767716535
94024,4462336,2432,4,3.0,12,Single Family Residential,1834.842105263158
94024,4476166,2902,6,3.5,1,House,1542.4417643004824
94024,4477363,3401,6,4.5,45,Single Family Residential,1316.4842693325493
94024,4514516,2611,5,4.5,62,Single Family Residential,1729.0371505170433
94024,4544977,3413,5,4.0,69,Single Family,1331.666276003516
94024,4551261,2784,4,4.0,90,Single Family,1634.792025862069
94024,4688732,2679,4,3.0,53,Single Family Residential,1750.179917879806
94024,4698000,3728,5,3.0,7,Single Family,1260.1931330472103
94024,4714225,3143,5,4.0,63,House,1499.912503977092
94024,4743870,2847,5,4.5,67,Residential,1666.2697576396206
94024,4806359,3726,5,4.0,97,Residential,1289.9514224369298
94024,4895329,4588,4,4.5,70,Single Family Residential,1066.9853966870096
94024,4946954,2402,4,2.0,33,Single Family Residence,2059.5145711906744
94024,4976064,2926,6,3.5,87,Single Family,1700.637047163363
94024,5007265,3443,4,4.5,102,Single Family Residential,1454.3319779262272
94024,5011427,3196,4,3.0,19,Single Family,1568.0309762202753
94024,5019835,3716,5,3.0,103,Residential,1350.8705597416576
94024,5057866,2991,5,4.5,58,Single Family Residential,1691.0284185891007
94024,5235524,3947,5,3.5,39,Single Family,1326.4565492779327
94024,5288246,3594,5,4.5,104,House,1471.409571508069
94024,5311289,2130,4,2.0,83,House,2493.562910798122
94024,5357627,4137,4,3.0,50,Single Family,1295.0512448634277
94024,5365396,4192,4,3.5,69,Single Family Residential,1279.9131679389313
94024,5434935,3252,4,4.0,59,Single Family Residence,1671.259225092251
94024,5702938,2447,4,2.0,77,Residential,2330.583571720474
94024,5737389,2525,5,3.5,90,Single Family Residence,2272.233267326733
94025,1484911,2102,3,3.0,74,House,706.4276879162702
94025,1517930,1406,3,2.0,5,Single Family Residential,1079.6088193456615
94025,1604485,1364,3,2.0,66,Single Family Residence,1176.308651026393
94025,1732196,944,2,1.5,94,Single Family Residential,1834.9533898305085
94025,1790368,1972,4,3.0,3,Residential,907.894523326572
94025,1811577,1773,3,2.0,72,House,1021.7580372250424
94025,1813227,2303,4,2.5,57,Single Family Residential,787.3326096396005
94025,1814976,2864,5,3.5,19,House,633.7206703910615
94025,1929051,2481,5,2.5,64,Residential,777.5296251511487
94025,1945604,1601,3,2.0,28,Single Family,1215.2429731417865
94025,2005072,2020,5,3.0,46,Single Family Residence,992.609900990099
94025,2072775,1941,4,2.5,70,Single Family,1067.8902627511593
94025,2090339,1639,3,2.0,52,Residential,1275.3746186699207
94025,2202300,2698,4,4.0,73,Single Family,816.2713120830244
94025,2206471,2528,4,4.0,74,Single Family,872.8128955696203
94025,2209457,1928,4,2.0,102,Single Family,1145.9839211618257
94025,2238798,2236,4,3.0,63,Residential,1001.2513416815742
94025,2268818,2185,4,2.0,50,Single Family,1038.3606407322654
94025,2309553,2096,3,3.0,38,Single Family,1101.8859732824428
94025,2336558,3098,6,3.5,25,Single Family Residence,754.2149774047773
94025,2340000,2428,4,2.0,59,Single Family,963.7561779242175
94025,2344579,962,3,1.0,56,House,2437.1923076923076
94025,2351820,2331,4,2.5,43,House,1008.9317889317889
94025,2363375,1388,3,2.0,45,Residential,1702.7197406340058
94025,2374346,1553,3,2.5,51,Single Family,1528.8770122343851
94025,2380358,1587,3,2.5,60,Single Family Residential,1499.91052299937
94025,2384876,2363,4,2.0,69,House,1009.2577232331781
94025,2386927,2577,5,4.0,53,Residential,926.2425300737292
94025,2416689,2348,4,2.5,102,Residential,1029.254258943782
94025,2435523,2736,5,3.5,50,Single Family,890.1765350877193
94025,2483894,1933,5,3.0,34,Residential,1284.9943093636834
94025,2590436,2219,4,2.0,98,Single Family Residential,1167.3889139251914
94025,2595115,2100,4,2.5,87,House,1235.7690476190476
94025,2606516,1346,3,2.0,5,Single Family Residential,1936.4903417533433
94025,2660962,1362,4,2.0,16,Residential,1953.7165932452276
94025,2697928,1865,5,3.0,33,Single Family,1446.6101876675602
94025,2761343,2348,4,2.0,13,Single Family Residential,1176.0404599659284
94025,2770661,1952,4,2.0,4,Single Family Residence,1419.3960040983607
94025,2816081,1728,3,2.0,71,Single Family Residence,1629.6765046296296
94025,2816683,1615,4,2.0,89,Single Family,1744.076160990712
94025,2834188,2007,4,3.0,96,Residential,1412.1514698555056
94025,2868184,2519,5,3.5,48,Residential,1138.6200873362445
94025,2885589,2439,5,2.0,71,Single Family Residence,1183.1033210332102
94025,2903360,2377,4,2.5,7,House,1221.4387883887252
94025,2931648,1863,4,2.5,15,Residential,1573.6167471819647
94025,2935973,2079,5,2.0,94,Residential,1412.2044252044252
94025,2960152,2355,3,3.0,97,Single Family,1256.9647558386412
94025,2975362,3054,5,4.5,64,Single Family,974.2508185985592
94025,2988338,1979,3,3.0,18,Single Family,1510.0242546740778
94025,3013301,2484,4,3.0,73,Residential,1213.0841384863124
94025,3015107,2167,3,3.0,99,Single Family Residence,1391.3737886479003
94025,3176793,1893,5,2.5,17,House,1678.1790808240887
94025,3192914,1875,4,3.0,60,Single Family Residence,1702.8874666666666
94025,3240911,2189,4,3.0,68,House,1480.5440840566469
94025,3249062,1711,4,2.0,71,Single Family Residence,1898.925774400935
94025,3260310,2742,6,4.5,91,Single Family,1189.0262582056894
94025,3316595,1823,3,3.0,104,House,1819.306088864509
94025,3320217,1925,4,3.0,92,Single Family Residential,1724.788051948052
94025,3403687,1707,4,2.0,48,Single Family Residential,1993.9584065612185
94025,3416582,2074,5,2.5,102,Single Family Residence,1647.3394406943105
94025,3461609,2053,5,3.0,22,Single Family,1686.1222601071602
94025,3500990,2688,4,4.0,5,House,1302.451636904762
94025,3538615,2214,4,3.0,7,Single Family Residence,1598.2904245709124
94025,3629465,1673,3,2.5,71,Single Family Residence,2169.4351464435144
94025,3832111,2007,5,3.0,6,Residential,1909.3726955655206
94025,3889014,2015,5,3.0,83,Single Family Residential,1930.0317617866006
94025,4003135,2163,4,3.0,66,Single Family Residential,1850.7327785483126
94025,4223251,1920,5,2.0,23,Residential,2199.609895833333
94027,2934653,4291,6,3.5,54,Residential,683.9088790491727
94027,3146284,3593,4,4.0,12,Single Family Residence,875.6704703590315
94027,3521909,4565,5,4.5,53,Single Family Residential,771.5025191675794
94027,3580590,3759,4,3.0,5,Single Family,952.5379090183559
94027,3599610,3290,5,3.0,73,House,1094.1063829787233
94027,3789827,4338,4,4.0,41,Residential,873.6346242508068
94027,3930511,4394,4,4.5,74,House,894.5177514792899
94027,4417349,3988,4,4.5,96,Single Family Residential,1107.6602306920763
94027,4609489,4171,5,4.5,30,Residential,1105.1280268520738
94027,4698506,4314,4,3.0,10,Single Family Residential,1089.1298099211867
94027,4904097,2227,4,2.5,22,Residential,2202.109115401886
94027,5054249,3530,6,4.5,99,House,1431.798583569405
94027,5106065,6330,6,4.0,96,House,806.6453396524487
94027,5432516,4431,4,3.5,96,House,1226.024825095915
94027,5579253,4022,4,4.0,12,Single Family Residence,1387.1837394331178
94027,5672116,3386,5,3.0,8,Single Family Residential,1675.1671588895451
94027,5799599,3624,5,3.0,101,Residential,1600.3308498896247
94027,5811274,3811,5,3.0,90,Residential,1524.868538441354
94027,5942650,3872,6,4.0,105,Residential,1534.7753099173553
94027,6302986,3370,6,3.5,33,Residential,1870.3222551928784
94027,6385262,3887,6,3.0,25,Single Family Residential,1642.7224080267558
94027,6387718,3219,5,4.0,43,Single Family Residence,1984.3796210003106
94027,6577775,5197,5,4.0,23,Residential,1265.6869347700597
94027,6637728,2717,4,3.5,71,Residential,2443.035701140964
94027,6640159,2809,4,3.5,52,Single Family Residence,2363.887148451406
94027,6888741,5122,6,3.0,81,Single Family Residential,1344.93186255369
94027,6905378,4595,5,3.5,43,Single Family,1502.8026115342764
94027,7571227,3235,6,3.5,99,Single Family Residential,2340.410200927357
94027,7805336,3958,6,3.5,67,Single Family Residence,1972.0404244567965
94027,7905787,3110,6,4.5,40,Single Family,2542.053697749196
94027,7950251,4334,4,4.5,17,Single Family Residence,1834.3910936778957
94027,8005847,5094,4,3.0,55,Single Family Residence,1571.6228896741263
94027,8166901,2971,4,4.5,57,Single Family,2748.872770111074
94027,8723269,4722,4,4.5,83,Single Family,1847.367429055485
94027,9579977,5339,4,4.5,90,Single Family Residential,1794.339202097771
94027,9612017,3755,5,3.0,12,Residential,2559.7914780292945
94061,1032593,1515,3,2.0,95,House,681.5795379537954
94061,1156085,1429,3,2.0,28,Single Family Residential,809.0167949615116
94061,1177951,1786,3,2.0,21,Single Family Residential,659.547032474804
94061,1221959,1064,2,1.0,77,Single Family Residence,1148.4577067669172
94061,1254395,1560,4,2.0,94,Single Family,804.099358974359
94061,1300326,1505,3,2.0,20,Residential,864.0039867109634
94061,1318137,1828,5,2.0,100,Single Family Residential,721.0815098468271
94061,1321914,959,2,2.0,94,Residential,1378.429614181439
94061,1327730,1744,3,2.0,92,Single Family,761.3130733944954
94061,1338692,1106,3,1.5,87,Residential,1210.390596745027
94061,1373449,2132,3,3.0,98,Single Family Residential,644.2068480300188
94061,1378562,2037,5,2.0,25,Single Family Residential,676.7609229258713
94061,1380806,2106,3,2.0,33,Single Family Residential,655.653371320038
94061,1380849,1970,3,3.0,58,Residential,700.938578680203
94061,1388014,1415,3,2.0,75,House,980.9286219081272
94061,1394109,1837,4,3.0,105,Single Family,758.9052803483942
94061,1398236,1453,3,2.5,67,Residential,962.3097040605644
94061,1407529,1558,3,2.0,33,Single Family Residence,903.4204107830552
94061,1425440,1382,3,2.0,80,Single Family Residential,1031.4327062228654
94061,1446484,1554,3,2.5,83,Single Family Residence,930.8133848133848
94061,1448271,2256,4,2.5,44,Single Family Residential,641.9640957446809
94061,1465177,2060,4,2.0,62,Residential,711.2509708737864
94061,1488195,1077,3,1.5,42,House,1381.7966573816157
94061,1491662,1420,3,2.0,8,Single Family Residential,1050.4661971830985
94061,1491773,1074,3,1.0,30,Single Family Residence,1388.987895716946
94061,1508924,1515,3,2.0,90,Single Family Residential,995.9894389438944
94061,1512388,1383,4,2.0,79,House,1093.5560375994216
94061,1527916,1321,3,2.0,10,Single Family Residential,1156.6358819076456
94061,1530312,1225,3,2.5,36,House,1249.2342857142858
94061,1543903,1610,3,2.5,26,Residential,958.9459627329193
94061,1548829,1788,3,2.5,13,Single Family,866.2354586129754
94061,1552496,1623,3,2.0,89,Single Family,956.5594577942082
94061,1554246,1852,5,3.0,35,Single Family,839.2257019438445
94061,1558877,1499,3,2.0,83,Single Family Residential,1039.9446297531688
94061,1562712,1463,4,2.0,72,Single Family,1068.155844155844
94061,1565235,1236,3,2.5,100,Single Family Residential,1266.371359223301
94061,1591043,1638,3,2.5,84,Single Family Residential,971.3327228327229
94061,1615003,1802,4,3.0,55,Single Family Residential,896.2280799112098
94061,1619646,1603,3,2.0,65,Single Family,1010.3842794759826
94061,1630458,1420,3,2.0,77,Single Family Residential,1148.2098591549295
94061,1649794,1773,3,2.0,29,Residential,930.5098702763678
94061,1657452,1535,3,2.0,59,Residential,1079.77328990228
94061,1658774,1758,4,2.5,79,Single Family,943.5574516496018
94061,1666171,1336,3,2.5,84,Single Family,1247.133982035928
94061,1671079,1511,3,2.0,12,Single Family Residential,1105.9424222369291
94061,1683108,1527,3,2.0,9,Single Family Residence,1102.2318271119843
94061,1701619,1834,5,3.0,68,Single Family Residence,927.8184296619411
94061,1711295,1728,4,2.0,2,Single Family Residential,990.3327546296297
94061,1727386,1641,3,2.0,14,Residential,1052.6422912858013
94061,1741295,1222,4,2.0,17,Single Family Residential,1424.954991816694
94061,1756175,1780,3,2.5,69,Single Family Residence,986.6151685393259
94061,1766108,1456,3,2.5,17,Single Family Residential,1212.9862637362637
94061,1769143,1344,3,2.0,48,Single Family,1316.326636904762
94061,1771874,1536,3,2.0,68,House,1153.5638020833333
94061,1774043,1908,4,3.0,100,Residential,929.791928721174
94061,1778992,1724,4,2.0,37,Residential,1031.8979118329466
94061,1796339,1645,4,2.5,49,Single Family,1091.9993920972645
94061,1797999,1958,3,2.0,22,Single Family Residential,918.2834525025536
94061,1807987,1872,3,2.0,46,Residential,965.8050213675214
94061,1824856,1180,2,2.0,81,Residential,1546.4881355932202
94061,1849837,1835,4,3.0,21,House,1008.0855585831063
94061,1857908,2266,4,2.5,43,Single Family Residential,819.9064430714916
94061,1922606,1655,3,2.0,23,Single Family Residence,1161.6954682779456
94061,1938084,2244,3,2.0,8,Single Family Residential,863.6737967914438
94061,1946238,1663,3,2.0,56,Residential,1170.3174984966927
94061,1969063,1760,3,2.5,15,Single Family Residential,1118.7857954545455
94061,2019265,1769,3,2.0,39,Single Family,1141.472583380441
94061,2027067,1330,4,2.0,28,House,1524.1105263157895
94061,2037258,1631,3,2.5,34,Single Family Residence,1249.0852237890865
94061,2038492,1395,3,2.0,92,Single Family Residential,1461.28458781362
94061,2048856,1436,4,2.0,97,Residential,1426.7799442896935
94061,2052850,2272,3,2.5,83,Single Family Residence,903.5431338028169
94061,2061124,1476,3,2.0,11,Single Family Residence,1396.4254742547425
94061,2099375,1303,4,2.5,96,House,1611.1857252494244
94061,2111653,1774,3,2.0,20,House,1190.3342728297632
94061,2123378,1300,3,2.0,31,House,1633.3676923076923
94061,2164505,1472,4,2.0,70,Single Family Residential,1470.4517663043478
94061,2354703,1295,3,2.0,39,Single Family Residential,1818.3034749034748
94061,2364206,2085,4,2.0,91,Single Family,1133.9117505995205
94061,2366002,2038,4,3.0,63,Single Family Residence,1160.9430814524044
94062,1103793,1399,4,2.0,75,Single Family,788.9871336669049
94062,1134072,1464,3,2.0,86,Single Family,774.639344262295
94062,1164586,1311,3,2.0,26,Single Family Residence,888.3188405797101
94062,1172518,1416,3,2.5,75,Single Family Residential,828.0494350282486
94062,1235802,1473,4,2.0,5,House,838.969450101833
94062,1270915,1248,3,2.0,99,Residential,1018.3613782051282
94062,1326092,1606,3,2.0,19,Single Family Residential,825.7110834371108
94062,1337335,1733,4,2.0,75,Single Family Residence,771.6878245816503
94062,1361312,1945,3,3.0,12,Single Family Residence,699.9033419023136
94062,1388268,1178,2,1.0,94,House,1178.4957555178269
94062,1411826,1525,4,2.0,29,House,925.7875409836065
94062,1413147,1421,3,2.0,45,Residential,994.4736101337087
94062,1415819,1857,5,3.0,56,Single Family Residence,762.4227248249865
94062,1426174,1959,4,3.0,30,House,728.0112302194998
94062,1430819,1848,4,2.5,75,House,774.2527056277056
94062,1451179,1533,3,2.0,22,Single Family Residential,946.6268754076973
94062,1474822,1840,4,3.0,57,Single Family,801.533695652174
94062,1488819,1640,3,2.5,13,Single Family Residence,907.8164634146342
94062,1491431,1247,3,2.5,47,Residential,1196.0152365677627
94062,1493711,2256,4,2.5,80,Single Family Residential,662.105939716312
94062,1503052,1976,4,3.0,91,Single Family Residential,760.6538461538462
94062,1514716,1491,3,2.5,90,House,1015.906103286385
94062,1537557,1175,3,1.5,75,Single Family Residential,1308.5591489361702
94062,1539777,1627,3,2.5,27,Single Family,946.3902888752305
94062,1541232,1659,3,2.5,98,Single Family,929.0126582278481
94062,1551218,1789,3,2.0,2,Single Family Residential,867.0866405813304
94062,1555201,1867,5,3.0,34,Single Family,832.9946438136047
94062,1556172,1366,4,2.5,23,Single Family,1139.2181551976573
94062,1557183,1323,4,2.5,68,Residential,1177.0090702947846
94062,1588270,1979,4,3.0,46,House,802.5618999494694
94062,1677854,1376,3,2.0,59,Residential,1219.3706395348838
94062,1685140,1225,3,2.5,89,Single Family Residential,1375.6244897959184
94062,1690504,1236,4,2.0,12,Single Family Residence,1367.7216828478965
94062,1692396,2150,5,2.0,65,Single Family Residence,787.1609302325581
94062,1701829,2076,4,3.0,71,Single Family Residence,819.7634874759152
94062,1738859,1698,4,2.5,32,House,1024.063015312132
94062,1750586,1291,3,2.0,82,Single Family,1355.992254066615
94062,1792541,1870,5,3.0,61,Single Family Residence,958.5780748663102
94062,1799174,2416,4,2.0,69,House,744.691225165563
94062,1816052,1824,5,2.5,71,Single Family Residential,995.6425438596491
94062,1816574,1409,3,2.0,39,Single Family,1289.2647267565649
94062,1822663,1629,3,2.5,100,Single Family,1118.8845917740946
94062,1824322,1993,3,3.0,19,Single Family,915.3647767185148
94062,1825764,1212,3,2.0,101,House,1506.4059405940593
94062,1826224,2207,4,2.5,48,Residential,827.4689623923879
94062,1829225,2221,4,2.5,24,House,823.6042323277803
94062,1835575,1513,3,2.5,97,Single Family Residential,1213.2022471910113
94062,1855199,2085,4,2.0,65,Residential,889.7836930455635
94062,1860204,2124,3,2.0,100,House,875.8022598870057
94062,1866669,1885,4,2.5,59,Residential,990.2753315649867
94062,1891522,2146,4,2.0,19,House,881.4175209692451
94062,1897765,1820,4,2.5,21,Single Family Residential,1042.728021978022
94062,1904813,1937,4,3.0,1,House,983.3830665978317
94062,1913789,1709,4,2.5,11,House,1119.8297249853715
94062,1923202,2022,5,2.0,93,House,951.1384767556874
94062,1932967,1132,2,2.0,27,House,1707.5680212014133
94062,1946209,2031,3,2.5,84,House,958.2516001969473
94062,1955277,1440,3,2.0,5,Single Family Residential,1357.83125
94062,1960271,1582,3,2.0,77,House,1239.1093552465234
94062,1973512,1742,3,2.0,10,Single Family,1132.9001148105626
94062,1982410,1965,5,2.0,50,Single Family Residence,1008.8600508905853
94062,1982491,1884,3,2.5,93,Single Family Residence,1052.277600849257
94062,2000366,1534,3,2.5,24,Residential,1304.019556714472
94062,2009322,2036,4,3.0,29,House,986.8968565815325
94062,2011470,2135,5,2.5,63,Single Family,942.1405152224825
94062,2043278,2123,4,2.5,6,Single Family Residential,962.448422044277
94062,2065445,1763,3,2.5,63,Single Family Residence,1171.55133295519
94062,2074010,1378,4,2.5,5,Residential,1505.0870827285921
94062,2117134,1846,5,2.5,42,Single Family Residence,1146.8764897074757
94062,2128963,1867,5,2.5,95,Single Family Residential,1140.3122656668452
94062,2159036,1432,3,2.0,11,Single Family Residential,1507.7067039106146
94062,2191283,1790,4,2.5,94,House,1224.1804469273743
94062,2203671,1975,4,2.0,84,Single Family,1115.7827848101265
94062,2206514,1807,4,3.0,42,House,1221.092418372994
94062,2217071,1949,5,3.0,36,House,1137.5428424833249
94062,2229227,2011,4,3.0,99,House,1108.516658378916
94062,2271282,1905,5,2.0,13,Single Family Residence,1192.2740157480314
94062,2279594,1687,3,2.0,18,Single Family,1351.2708950800238
94062,2285176,1938,5,2.0,59,Single Family Residence,1179.141382868937
94062,2356466,2246,4,3.0,5,Single Family Residential,1049.1834372217274
94062,2379916,1166,2,1.5,79,Residential,2041.0943396226414
94062,2403688,1298,4,2.0,88,Single Family Residential,1851.839753466872
94062,2411894,1720,3,2.5,16,House,1402.2639534883722
94062,2448464,1604,3,2.5,62,Single Family Residential,1526.4738154613467
94062,2487809,1478,3,2.0,22,Residential,1683.226657645467
94062,2761601,1464,3,2.0,20,House,1886.339480874317
94062,3185089,1832,3,2.5,11,Residential,1738.5856986899564
94070,1109024,1439,3,2.0,68,Residential,770.6907574704657
94070,1148517,1472,3,2.0,78,Single Family Residential,780.242527173913
94070,1197364,1840,5,3.0,74,House,650.741304347826
94070,1309291,2076,3,3.0,58,Single Family Residential,630.6796724470134
